"station_id","pollutant_id","aggregation_id","year","value","unit_id","value_remark"
"beJUN","so2","maxdailymean",1989,32.00,"µg/m3",
"beJUN","so2","maxdailymean",1990,8.00,"µg/m3",
"beJUN","so2","maxdailymean",1991,20.00,"µg/m3",
"beJUN","so2","maxdailymean",1992,5.00,"µg/m3",
"beJUN","so2","maxdailymean",1993,4.00,"µg/m3",
"beJUN","so2","maxdailymean",1994,11.00,"µg/m3",
"beJUN","so2","maxdailymean",1995,3.00,"µg/m3",
"beJUN","so2","maxdailymean",1996,8.00,"µg/m3",
"beJUN","so2","maxdailymean",1997,5.00,"µg/m3",
"beJUN","so2","maxdailymean",1998,2.00,"µg/m3",
"beJUN","so2","maxdailymean",1999,3.00,"µg/m3",
"beJUN","so2","maxdailymean",2001,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2002,2.00,"µg/m3",
"beJUN","so2","maxdailymean",2003,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2004,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2005,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2006,2.00,"µg/m3",
"beJUN","so2","maxdailymean",2007,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2008,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2009,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2010,6.00,"µg/m3",
"beJUN","so2","maxdailymean",2011,0.00,"µg/m3",
"beJUN","so2","maxdailymean",2012,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2013,1.00,"µg/m3",
"beJUN","so2","maxdailymean",2014,2.00,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1985,172.50,"µg/m3","incomplete series"
"tiLUG","so2","95pvaluehalfhour",1986,159.20,"µg/m3","incomplete series"
"tiLUG","so2","95pvaluehalfhour",1987,185.70,"µg/m3","incomplete series"
"tiLUG","so2","95pvaluehalfhour",1988,143.30,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1989,137.90,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1990,92.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1991,75.50,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1992,68.20,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1993,55.10,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1994,45.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1995,43.40,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1996,40.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1997,38.10,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1998,40.50,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",1999,32.00,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2000,26.10,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2001,25.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2002,26.70,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2003,24.20,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2004,22.70,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2005,22.00,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2006,19.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2007,19.90,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2008,17.00,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2009,14.80,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2010,12.10,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2011,12.20,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2012,12.60,"µg/m3",
"tiLUG","so2","95pvaluehalfhour",2013,9.30,"µg/m3",
